0PS7,small_airport,40.522396,-76.846297,720,,203072,19.16,66643,191825
0PS8,heliport,42.132599,-80.086197,1130,,424619,331.55,-202271,373346
0PS9,heliport,40.182734,-74.868028,141,,282829,56.20,235024,157340
0TN4,heliport,35.991209,-83.927278,790,,637394,242.63,-566032,-293053
0TN6,small_airport,36.183399,-84.099098,1125,,640039,244.99,-580002,-270643
0TN9,heliport,35.956200,-83.938202,1003,,640259,242.38,-567272,-296874
0VA0,closed,37.965401,-77.777496,330,,93622,187.69,-12526,-92781
0VA1,small_airport,37.233501,-79.585297,900,,243992,225.06,-172710,-172346
0VA2,small_airport,37.796501,-79.766701,1020,,216936,239.72,-187334,-109396
0VA3,small_airport,37.698799,-77.095299,150,,131180,158.79,47453,-122296
0VA4,small_airport,36.950100,-79.879501,1219,,284815,224.47,-199511,-203261
0VA5,closed,37.694144,-77.660894,280,,122974,181.08,-2312,-122952
0VA6,heliport,37.495998,-77.462196,178,,145767,174.01,15212,-144971
0VA7,small_airport,37.523201,-77.819397,425,,142877,186.55,-16297,-141944
0VA8,small_airport,37.285801,-77.791199,210,,168916,184.70,-13855,-168347
0VA9,small_airport,37.447399,-76.453796,8,,182441,145.15,104250,-149722
0VI1,small_airport,37.688900,-77.101402,145,,132020,159.18,46922,-123400
10IN,closed,39.718399,-85.048897,1000,,646272,281.41,-633493,127883
10MA,seaplane_base,42.262600,-72.306999,384,,592221,47.78,438549,397996
10NC,small_airport,36.340711,-77.508974,60,,273672,177.64,11257,-273440
10NJ,closed,40.216906,-74.742576,55,,293888,56.67,245556,161469
10NK,heliport,43.307336,-73.646211,328,,602366,32.43,323029,508426
10NR,heliport,34.976678,-80.522055,581,,496588,212.01,-263260,-421063
10NY,closed,43.368999,-75.159599,1195,,548707,21.41,200273,510852
10OH,small_airport,41.402517,-82.629333,617,,513887,305.84,-416589,300887
10PA,heliport,39.862598,-75.310501,8,,232198,58.68,198362,120699
10PN,heliport,39.930698,-75.244102,560,,240907,57.79,203827,128416
10SC,heliport,34.840013,-82.252927,890,,602217,224.45,-421730,-429895
10VA,small_airport,37.386299,-78.813103,785,,187992,213.64,-104130,-156518
10VG,heliport,36.829702,-76.298344,20,,248532,151.40,118954,-218216
11G,closed,42.921101,-82.585501,630,,618922,319.32,-403403,469393
11MD,small_airport,38.420020,-75.631680,42,,179081,103.01,174481,-40330
11N,small_airport,41.566799,-73.466202,675,,468993,47.70,346856,315666
11NC,heliport,36.021500,-78.518898,427,,318656,194.46,-79558,-308565
11NJ,heliport,40.640701,-74.664200,128,,326218,50.21,250648,208792
11NK,small_airport,42.913898,-74.611702,530,,523264,28.09,246380,461630
11NR,heliport,33.928083,-78.020389,19,,542818,183.76,-35635,-541647
11NY,closed,42.209162,-76.448979,969,,392112,14.43,97709,379743
11OA,small_airport,39.643101,-82.466797,780,,426631,284.21,-413581,104715
11OH,heliport,39.547753,-83.427914,977,,506176,281.27,-496417,98917
11PA,closed,40.262600,-77.045799,400,,170304,17.06,49967,162809
11PN,small_airport,41.352500,-79.732778,1489,,335285,328.50,-175187,285877
11VA,heliport,36.741798,-76.244102,21,,259432,151.47,123927,-227919
11VG,small_airport,38.209400,-77.000603,28,,85759,139.76,55396,-65467
12I,seaplane_base,39.510300,-85.000000,748,,639789,279.40,-631202,104468
12II,small_airport,39.856272,-84.973464,1020,,641873,282.84,-625820,142652
12JY,balloonport,40.604587,-74.921538,37,,306798,48.30,229060,204099
12MA,heliport,42.207100,-71.442703,275,,645942,52.15,510043,396354
12MD,heliport,39.270546,-76.673863,141,,98106,57.46,82704,52770
12NC,small_airport,34.892099,-76.349029,20,,449317,164.86,117343,-433724
12NJ,closed,40.883999,-74.067919,62,,382609,51.60,299861,237640
12NR,heliport,34.029945,-78.260572,38,,533338,186.22,-57750,-530202
12NY,closed,42.873402,-75.170998,1440,,498058,23.79,200927,455730
12OA,heliport,41.298199,-84.377387,709,,637383,297.95,-563049,298720
12OH,small_airport,39.834773,-84.333486,940,,587500,283.39,-571526,136069
12PA,heliport,39.849500,-77.184167,612,,122975,18.22,38456,116807
12PN,heliport,40.007112,-75.216197,230,,247364,56.38,205978,136974
12PS,heliport,39.723801,-75.881401,419,,182580,55.21,149942,104177
12SC,small_airport,34.141399,-80.746696,250,,587914,209.19,-286708,-513266
12VA,small_airport,37.788101,-79.767799,1060,,217509,239.52,-187452,-110327
12WV,small_airport,38.343301,-82.112149,603,,392512,263.97,-390342,-41224
13JY,heliport,40.644402,-74.245300,70,,355051,53.65,285966,210439
13MA,closed,42.223301,-72.311401,418,,589210,48.08,438453,393609
13N,closed,40.966801,-74.780197,600,,342562,44.41,239701,244729
13NC,small_airport,35.025006,-77.255945,27,,421094,175.30,34506,-419678
13NJ,heliport,40.365101,-74.582901,117,,314116,55.40,258550,178384
13NK,heliport,41.597500,-73.531502,1100,,467028,46.95,341266,318830
13NR,small_airport,36.297634,-80.162070,646,,356426,219.47,-226565,-275150
13NY,heliport,40.909885,-73.114650,190,,451472,57.27,379806,244079
13OH,closed,41.330299,-84.298301,728,,632793,298.48,-556189,301796
13PA,small_airport,41.682598,-79.452003,1703,,355706,334.88,-150987,322071
13PN,small_airport,40.454300,-75.304604,550,,271389,46.59,197160,186493
13PS,heliport,40.739201,-75.333900,488,,291811,41.63,193866,218104
13SC,closed,35.139198,-81.696404,840,,543840,222.80,-369534,-399007
13VA,heliport,38.823853,-77.283073,395,,30575,84.89,30454,2724
13VG,heliport,37.307899,-80.100098,1430,,272240,233.23,-218063,-162981
14CT,heliport,41.484699,-71.972900,124,,566149,56.40,471576,313274
14I,small_airport,39.633400,-83.749901,1050,,534807,281.89,-523326,110222
14KY,small_airport,38.173698,-84.368301,985,,590070,265.33,-588114,-48005
14MA,closed,42.049801,-72.649300,180,,555404,47.85,411741,372751
14N,small_airport,40.844755,-75.634217,899,,284387,36.28,168299,229240
14NC,small_airport,34.516458,-77.545109,60,,476362,179.01,8208,-476291
14NH,heliport,42.948898,-72.289703,481,,643780,42.54,435293,474312
14NJ,heliport,39.009247,-74.887952,22,,238800,83.55,237286,26846
14NK,small_airport,43.340000,-73.478996,243,,613181,33.27,336392,512670
14NY,heliport,40.797550,-73.417900,222,,423141,57.01,354932,230373
14OH,small_airport,40.668900,-83.443497,930,,538303,294.53,-489726,223468
14OI,small_airport,40.919201,-82.113998,1050,,449038,303.06,-376347,244945
14P,small_airport,38.823898,-81.349403,927,,321853,271.64,-321721,9206
14PA,small_airport,40.290901,-75.659103,350,,237011,44.99,167568,167616
14PS,small_airport,39.884399,-76.118599,630,,177587,46.75,129358,121670
14VA,small_airport,39.229000,-77.746696,790,,48688,348.56,-9654,47721
14VG,small_airport,37.169130,-78.520920,590,,197266,203.46,-78543,-180955
14WV,heliport,38.400600,-79.995796,4792,,209930,258.53,-205738,-41745
15G,small_airport,41.028400,-81.798500,1210,,432952,306.22,-349290,255820
15KT,heliport,37.133803,-83.758258,884,,567740,252.87,-542564,-167189
15KY,small_airport,38.157001,-84.301598,910,,584600,265.07,-582433,-50284
15MA,small_airport,41.422510,-70.909295,10,,641727,60.87,560549,312407
15MI,heliport,42.543411,-82.933420,638,,610482,314.65,-434288,429049
15N,small_airport,39.119598,-75.583801,53,,180845,78.02,176907,37536
15NC,small_airport,36.239700,-76.973900,49,,290579,168.23,59275,-284469
15NJ,heliport,40.425098,-74.099602,7,,352597,58.06,299216,186533
15NK,closed,42.576401,-78.556702,1845,,427058,349.81,-75556,420321
15NR,heliport,34.977056,-80.110229,331,,478659,208.14,-225716,-422098
15NY,heliport,40.591801,-73.780098,0,,385249,57.65,325448,206155
15OH,heliport,40.402302,-81.337097,940,,363783,300.49,-313488,184563
15OI,heliport,41.436199,-82.710999,599,,521642,305.78,-423180,305006
15PA,closed,40.452580,-79.774958,1187,,259548,315.75,-181118,185908
15PN,heliport,40.375099,-75.938499,280,,227596,39.15,143694,176499
15PS,heliport,39.822576,-75.888127,500,,188431,52.33,149154,115148
15TN,heliport,36.551601,-82.515198,1283,,496881,241.32,-435917,-238469
15VA,small_airport,38.722301,-77.899696,450,,24550,249.51,-22997,-8594
16DE,heliport,39.780906,-75.555767,356,,209528,57.97,177641,111111
16KY,closed,38.444000,-83.122704,1070,,478342,266.97,-477675,-25249
16MD,small_airport,39.668611,-75.960278,363,,173566,55.66,143310,97914
16NC,small_airport,36.196098,-76.665298,31,,301886,163.25,87011,-289075
16NJ,seaplane_base,39.937302,-74.135696,0,,326255,66.10,298270,132202
16NK,heliport,42.162399,-75.127998,1220,,429765,28.75,206716,376784
16NY,closed,42.939804,-76.114899,1380,,477720,15.02,123816,461396
16OH,closed,41.354198,-81.708199,780,,448015,310.62,-340058,291682
16OI,small_airport,40.125301,-84.582497,1038,,614210,286.06,-590248,169885
16PA,small_airport,40.180599,-80.127602,1200,,263301,306.45,-211794,156431
